Air_temperature,Date (GMT+1)
0.6,2021-01-01T01:00:00
0.4,2021-01-01T02:00:00
0.4,2021-01-01T03:00:00
0.3,2021-01-01T04:00:00
0.3,2021-01-01T05:00:00
0.2,2021-01-01T06:00:00
0.2,2021-01-01T07:00:00
0.1,2021-01-01T08:00:00
0.1,2021-01-01T09:00:00
0.6,2021-01-01T10:00:00
1.1,2021-01-01T11:00:00
1.6,2021-01-01T12:00:00
2.0,2021-01-01T13:00:00
2.2,2021-01-01T14:00:00
2.2,2021-01-01T15:00:00
1.9,2021-01-01T16:00:00
1.5,2021-01-01T17:00:00
1.2,2021-01-01T18:00:00
1.1,2021-01-01T19:00:00
1.0,2021-01-01T20:00:00
0.8,2021-01-01T21:00:00
0.8,2021-01-01T22:00:00
0.7,2021-01-01T23:00:00
0.6,2021-01-02T00:00:00
0.5,2021-01-01T01:00:00
0.3,2021-01-01T02:00:00
0.2,2021-01-01T03:00:00
0.2,2021-01-01T04:00:00
0.1,2021-01-01T05:00:00
0.0,2021-01-01T06:00:00
0.0,2021-01-01T07:00:00
0.0,2021-01-01T08:00:00
0.1,2021-01-01T09:00:00
0.4,2021-01-01T10:00:00
0.8,2021-01-01T11:00:00
1.3,2021-01-01T12:00:00
1.6,2021-01-01T13:00:00
1.7,2021-01-01T14:00:00
1.7,2021-01-01T15:00:00
1.4,2021-01-01T16:00:00
1.1,2021-01-01T17:00:00
0.9,2021-01-01T18:00:00
0.7,2021-01-01T19:00:00
0.6,2021-01-01T20:00:00
0.5,2021-01-01T21:00:00
0.5,2021-01-01T22:00:00
0.4,2021-01-01T23:00:00
0.4,2021-01-02T00:00:00
0.4,2021-01-01T01:00:00
0.4,2021-01-01T02:00:00
0.3,2021-01-01T03:00:00
0.3,2021-01-01T04:00:00
0.3,2021-01-01T05:00:00
0.3,2021-01-01T06:00:00
0.2,2021-01-01T07:00:00
0.2,2021-01-01T08:00:00
0.2,2021-01-01T09:00:00
0.3,2021-01-01T10:00:00
0.5,2021-01-01T11:00:00
0.7,2021-01-01T12:00:00
0.8,2021-01-01T13:00:00
0.9,2021-01-01T14:00:00
0.8,2021-01-01T15:00:00
0.7,2021-01-01T16:00:00
0.6,2021-01-01T17:00:00
0.5,2021-01-01T18:00:00
0.5,2021-01-01T19:00:00
0.4,2021-01-01T20:00:00
0.4,2021-01-01T21:00:00
0.4,2021-01-01T22:00:00
0.3,2021-01-01T23:00:00
0.3,2021-01-02T00:00:00
0.3,2021-01-01T01:00:00
0.2,2021-01-01T02:00:00
0.2,2021-01-01T03:00:00
0.2,2021-01-01T04:00:00
0.1,2021-01-01T05:00:00
0.1,2021-01-01T06:00:00
0.0,2021-01-01T07:00:00
0.0,2021-01-01T08:00:00
0.0,2021-01-01T09:00:00
0.1,2021-01-01T10:00:00
0.3,2021-01-01T11:00:00
0.4,2021-01-01T12:00:00
0.5,2021-01-01T13:00:00
0.5,2021-01-01T14:00:00
0.5,2021-01-01T15:00:00
0.4,2021-01-01T16:00:00
0.3,2021-01-01T17:00:00
0.2,2021-01-01T18:00:00
0.2,2021-01-01T19:00:00
0.1,2021-01-01T20:00:00
0.1,2021-01-01T21:00:00
0.1,2021-01-01T22:00:00
0.1,2021-01-01T23:00:00
0.1,2021-01-02T00:00:00
0.1,2021-01-01T01:00:00
0.1,2021-01-01T02:00:00
0.1,2021-01-01T03:00:00
0.1,2021-01-01T04:00:00
0.1,2021-01-01T05:00:00
0.1,2021-01-01T06:00:00
0.1,2021-01-01T07:00:00
0.1,2021-01-01T08:00:00
0.2,2021-01-01T09:00:00
0.3,2021-01-01T10:00:00
0.5,2021-01-01T11:00:00
0.7,2021-01-01T12:00:00
0.8,2021-01-01T13:00:00
0.9,2021-01-01T14:00:00
0.9,2021-01-01T15:00:00
0.8,2021-01-01T16:00:00
0.7,2021-01-01T17:00:00
0.7,2021-01-01T18:00:00
0.7,2021-01-01T19:00:00
0.6,2021-01-01T20:00:00
0.6,2021-01-01T21:00:00
0.6,2021-01-01T22:00:00
0.6,2021-01-01T23:00:00
0.6,2021-01-02T00:00:00
0.6,2021-01-01T01:00:00
0.6,2021-01-01T02:00:00
0.5,2021-01-01T03:00:00
0.5,2021-01-01T04:00:00
0.4,2021-01-01T05:00:00
0.3,2021-01-01T06:00:00
0.3,2021-01-01T07:00:00
0.2,2021-01-01T08:00:00
0.2,2021-01-01T09:00:00
0.3,2021-01-01T10:00:00
0.5,2021-01-01T11:00:00
0.7,2021-01-01T12:00:00
0.7,2021-01-01T13:00:00
0.8,2021-01-01T14:00:00
0.7,2021-01-01T15:00:00
0.6,2021-01-01T16:00:00
0.4,2021-01-01T17:00:00
0.3,2021-01-01T18:00:00
0.2,2021-01-01T19:00:00
0.1,2021-01-01T20:00:00
0.0,2021-01-01T21:00:00
0.0,2021-01-01T22:00:00
-0.1,2021-01-01T23:00:00
-0.1,2021-01-02T00:00:00
-0.2,2021-01-01T01:00:00
-0.2,2021-01-01T02:00:00
-0.2,2021-01-01T03:00:00
-0.3,2021-01-01T04:00:00
-0.3,2021-01-01T05:00:00
-0.3,2021-01-01T06:00:00
-0.4,2021-01-01T07:00:00
-0.4,2021-01-01T08:00:00
-0.4,2021-01-01T09:00:00
-0.2,2021-01-01T10:00:00
0.1,2021-01-01T11:00:00
0.4,2021-01-01T12:00:00
0.6,2021-01-01T13:00:00
0.7,2021-01-01T14:00:00
0.7,2021-01-01T15:00:00
0.5,2021-01-01T16:00:00
0.2,2021-01-01T17:00:00
0.1,2021-01-01T18:00:00
0.0,2021-01-01T19:00:00
-0.1,2021-01-01T20:00:00
-0.1,2021-01-01T21:00:00
-0.2,2021-01-01T22:00:00
-0.2,2021-01-01T23:00:00
-0.2,2021-01-02T00:00:00
-0.3,2021-01-01T01:00:00
-0.4,2021-01-01T02:00:00
-0.4,2021-01-01T03:00:00
-0.4,2021-01-01T04:00:00
-0.4,2021-01-01T05:00:00
-0.5,2021-01-01T06:00:00
-0.5,2021-01-01T07:00:00
-0.6,2021-01-01T08:00:00
-0.5,2021-01-01T09:00:00
-0.3,2021-01-01T10:00:00
0.0,2021-01-01T11:00:00
0.3,2021-01-01T12:00:00
0.5,2021-01-01T13:00:00
0.6,2021-01-01T14:00:00
0.6,2021-01-01T15:00:00
0.4,2021-01-01T16:00:00
0.1,2021-01-01T17:00:00
-0.1,2021-01-01T18:00:00
-0.3,2021-01-01T19:00:00
-0.4,2021-01-01T20:00:00
-0.5,2021-01-01T21:00:00
-0.7,2021-01-01T22:00:00
-0.8,2021-01-01T23:00:00
-0.8,2021-01-02T00:00:00
-0.9,2021-01-01T01:00:00
-1.0,2021-01-01T02:00:00
-1.1,2021-01-01T03:00:00
-1.2,2021-01-01T04:00:00
-1.3,2021-01-01T05:00:00
-1.4,2021-01-01T06:00:00
-1.5,2021-01-01T07:00:00
-1.6,2021-01-01T08:00:00
-1.6,2021-01-01T09:00:00
-1.1,2021-01-01T10:00:00
-0.5,2021-01-01T11:00:00
-0.1,2021-01-01T12:00:00
0.3,2021-01-01T13:00:00
0.4,2021-01-01T14:00:00
0.4,2021-01-01T15:00:00
0.1,2021-01-01T16:00:00
-0.4,2021-01-01T17:00:00
-0.8,2021-01-01T18:00:00
-1.0,2021-01-01T19:00:00
-1.2,2021-01-01T20:00:00
-1.4,2021-01-01T21:00:00
-1.5,2021-01-01T22:00:00
-1.6,2021-01-01T23:00:00
-1.8,2021-01-02T00:00:00
-1.9,2021-01-01T01:00:00
-2.0,2021-01-01T02:00:00
-2.2,2021-01-01T03:00:00
-2.3,2021-01-01T04:00:00
-2.4,2021-01-01T05:00:00
-2.5,2021-01-01T06:00:00
-2.6,2021-01-01T07:00:00
-2.6,2021-01-01T08:00:00
-2.5,2021-01-01T09:00:00
-2.0,2021-01-01T10:00:00
-1.3,2021-01-01T11:00:00
-0.5,2021-01-01T12:00:00
0.1,2021-01-01T13:00:00
0.4,2021-01-01T14:00:00
0.4,2021-01-01T15:00:00
-0.1,2021-01-01T16:00:00
-1.1,2021-01-01T17:00:00
-1.8,2021-01-01T18:00:00
-2.2,2021-01-01T19:00:00
-2.6,2021-01-01T20:00:00
-2.8,2021-01-01T21:00:00
-3.0,2021-01-01T22:00:00
-3.2,2021-01-01T23:00:00
-3.3,2021-01-02T00:00:00
-3.4,2021-01-01T01:00:00
-3.5,2021-01-01T02:00:00
-3.5,2021-01-01T03:00:00
-3.6,2021-01-01T04:00:00
-3.7,2021-01-01T05:00:00
-3.8,2021-01-01T06:00:00
-3.9,2021-01-01T07:00:00
-3.9,2021-01-01T08:00:00
-3.8,2021-01-01T09:00:00
-3.0,2021-01-01T10:00:00
-2.2,2021-01-01T11:00:00
-1.5,2021-01-01T12:00:00
-1.0,2021-01-01T13:00:00
-0.7,2021-01-01T14:00:00
-0.6,2021-01-01T15:00:00
-0.7,2021-01-01T16:00:00
-1.0,2021-01-01T17:00:00
-1.1,2021-01-01T18:00:00
-1.1,2021-01-01T19:00:00
-1.0,2021-01-01T20:00:00
-0.9,2021-01-01T21:00:00
-0.9,2021-01-01T22:00:00
-0.8,2021-01-01T23:00:00
-0.7,2021-01-02T00:00:00
-0.6,2021-01-01T01:00:00
-0.4,2021-01-01T02:00:00
-0.1,2021-01-01T03:00:00
0.0,2021-01-01T04:00:00
0.2,2021-01-01T05:00:00
0.3,2021-01-01T06:00:00
0.4,2021-01-01T07:00:00
0.5,2021-01-01T08:00:00
0.7,2021-01-01T09:00:00
0.9,2021-01-01T10:00:00
1.3,2021-01-01T11:00:00
1.6,2021-01-01T12:00:00
1.9,2021-01-01T13:00:00
2.0,2021-01-01T14:00:00
2.1,2021-01-01T15:00:00
1.9,2021-01-01T16:00:00
1.7,2021-01-01T17:00:00
1.5,2021-01-01T18:00:00
1.3,2021-01-01T19:00:00
1.3,2021-01-01T20:00:00
1.1,2021-01-01T21:00:00
0.9,2021-01-01T22:00:00
0.7,2021-01-01T23:00:00
0.6,2021-01-02T00:00:00
0.4,2021-01-01T01:00:00
0.2,2021-01-01T02:00:00
0.1,2021-01-01T03:00:00
0.0,2021-01-01T04:00:00
-0.1,2021-01-01T05:00:00
-0.1,2021-01-01T06:00:00
-0.1,2021-01-01T07:00:00
0.0,2021-01-01T08:00:00
0.1,2021-01-01T09:00:00
0.5,2021-01-01T10:00:00
1.0,2021-01-01T11:00:00
1.5,2021-01-01T12:00:00
1.8,2021-01-01T13:00:00
2.0,2021-01-01T14:00:00
1.9,2021-01-01T15:00:00
1.7,2021-01-01T16:00:00
1.4,2021-01-01T17:00:00
1.1,2021-01-01T18:00:00
1.0,2021-01-01T19:00:00
1.0,2021-01-01T20:00:00
0.9,2021-01-01T21:00:00
0.9,2021-01-01T22:00:00
0.9,2021-01-01T23:00:00
0.9,2021-01-02T00:00:00
0.8,2021-01-01T01:00:00
0.7,2021-01-01T02:00:00
0.5,2021-01-01T03:00:00
0.4,2021-01-01T04:00:00
0.2,2021-01-01T05:00:00
0.0,2021-01-01T06:00:00
-0.1,2021-01-01T07:00:00
-0.2,2021-01-01T08:00:00
-0.3,2021-01-01T09:00:00
-0.2,2021-01-01T10:00:00
0.0,2021-01-01T11:00:00
0.1,2021-01-01T12:00:00
0.3,2021-01-01T13:00:00
0.3,2021-01-01T14:00:00
0.3,2021-01-01T15:00:00
0.1,2021-01-01T16:00:00
-0.2,2021-01-01T17:00:00
-0.4,2021-01-01T18:00:00
-0.6,2021-01-01T19:00:00
-0.7,2021-01-01T20:00:00
-0.9,2021-01-01T21:00:00
-1.0,2021-01-01T22:00:00
-1.2,2021-01-01T23:00:00
-1.4,2021-01-02T00:00:00
-1.6,2021-01-01T01:00:00
-1.9,2021-01-01T02:00:00
-2.1,2021-01-01T03:00:00
-2.3,2021-01-01T04:00:00
-2.4,2021-01-01T05:00:00
-2.5,2021-01-01T06:00:00
-2.6,2021-01-01T07:00:00
-2.7,2021-01-01T08:00:00
-2.6,2021-01-01T09:00:00
-2.3,2021-01-01T10:00:00
-1.7,2021-01-01T11:00:00
-1.3,2021-01-01T12:00:00
-1.0,2021-01-01T13:00:00
-0.9,2021-01-01T14:00:00
-0.9,2021-01-01T15:00:00
-1.2,2021-01-01T16:00:00
-1.6,2021-01-01T17:00:00
-1.9,2021-01-01T18:00:00
-2.1,2021-01-01T19:00:00
-2.3,2021-01-01T20:00:00
-2.4,2021-01-01T21:00:00
-2.5,2021-01-01T22:00:00
-2.6,2021-01-01T23:00:00
-2.7,2021-01-02T00:00:00
-2.8,2021-01-01T01:00:00
-2.9,2021-01-01T02:00:00
-3.0,2021-01-01T03:00:00
-3.1,2021-01-01T04:00:00
-3.1,2021-01-01T05:00:00
-3.2,2021-01-01T06:00:00
-3.3,2021-01-01T07:00:00
-3.4,2021-01-01T08:00:00
-3.3,2021-01-01T09:00:00
-3.0,2021-01-01T10:00:00
-2.6,2021-01-01T11:00:00
-2.2,2021-01-01T12:00:00
-1.9,2021-01-01T13:00:00
-1.8,2021-01-01T14:00:00
-1.8,2021-01-01T15:00:00
-2.0,2021-01-01T16:00:00
-2.4,2021-01-01T17:00:00
-2.7,2021-01-01T18:00:00
-3.0,2021-01-01T19:00:00
-3.1,2021-01-01T20:00:00
-3.3,2021-01-01T21:00:00
-3.4,2021-01-01T22:00:00
-3.5,2021-01-01T23:00:00
-3.6,2021-01-02T00:00:00
-3.7,2021-01-01T01:00:00
-3.7,2021-01-01T02:00:00
-3.8,2021-01-01T03:00:00
-3.8,2021-01-01T04:00:00
-3.8,2021-01-01T05:00:00
-3.8,2021-01-01T06:00:00
-3.8,2021-01-01T07:00:00
-3.8,2021-01-01T08:00:00
-3.6,2021-01-01T09:00:00
-3.0,2021-01-01T10:00:00
-2.3,2021-01-01T11:00:00
-1.7,2021-01-01T12:00:00
-1.2,2021-01-01T13:00:00
-1.0,2021-01-01T14:00:00
-0.9,2021-01-01T15:00:00
-1.1,2021-01-01T16:00:00
-1.4,2021-01-01T17:00:00
-1.6,2021-01-01T18:00:00
-1.7,2021-01-01T19:00:00
-1.7,2021-01-01T20:00:00
-1.7,2021-01-01T21:00:00
-1.6,2021-01-01T22:00:00
-1.5,2021-01-01T23:00:00
-1.4,2021-01-02T00:00:00
-1.2,2021-01-01T01:00:00
-1.1,2021-01-01T02:00:00
-0.9,2021-01-01T03:00:00
-0.7,2021-01-01T04:00:00
-0.6,2021-01-01T05:00:00
-0.5,2021-01-01T06:00:00
-0.3,2021-01-01T07:00:00
-0.1,2021-01-01T08:00:00
0.1,2021-01-01T09:00:00
0.5,2021-01-01T10:00:00
1.0,2021-01-01T11:00:00
1.4,2021-01-01T12:00:00
1.8,2021-01-01T13:00:00
2.0,2021-01-01T14:00:00
2.1,2021-01-01T15:00:00
2.1,2021-01-01T16:00:00
1.9,2021-01-01T17:00:00
1.8,2021-01-01T18:00:00
1.8,2021-01-01T19:00:00
1.8,2021-01-01T20:00:00
1.7,2021-01-01T21:00:00
1.7,2021-01-01T22:00:00
1.7,2021-01-01T23:00:00
1.7,2021-01-02T00:00:00
1.6,2021-01-01T01:00:00
1.5,2021-01-01T02:00:00
1.3,2021-01-01T03:00:00
1.2,2021-01-01T04:00:00
1.1,2021-01-01T05:00:00
1.0,2021-01-01T06:00:00
0.9,2021-01-01T07:00:00
0.8,2021-01-01T08:00:00
0.9,2021-01-01T09:00:00
1.2,2021-01-01T10:00:00
1.5,2021-01-01T11:00:00
1.8,2021-01-01T12:00:00
2.0,2021-01-01T13:00:00
2.2,2021-01-01T14:00:00
2.5,2021-01-01T15:00:00
2.8,2021-01-01T16:00:00
3.0,2021-01-01T17:00:00
3.2,2021-01-01T18:00:00
3.3,2021-01-01T19:00:00
3.5,2021-01-01T20:00:00
3.5,2021-01-01T21:00:00
3.5,2021-01-01T22:00:00
3.4,2021-01-01T23:00:00
3.3,2021-01-02T00:00:00
3.2,2021-01-01T01:00:00
3.0,2021-01-01T02:00:00
2.8,2021-01-01T03:00:00
2.7,2021-01-01T04:00:00
2.6,2021-01-01T05:00:00
2.6,2021-01-01T06:00:00
2.6,2021-01-01T07:00:00
2.7,2021-01-01T08:00:00
3.0,2021-01-01T09:00:00
3.7,2021-01-01T10:00:00
4.6,2021-01-01T11:00:00
5.5,2021-01-01T12:00:00
6.2,2021-01-01T13:00:00
6.8,2021-01-01T14:00:00
6.9,2021-01-01T15:00:00
6.6,2021-01-01T16:00:00
5.9,2021-01-01T17:00:00
5.4,2021-01-01T18:00:00
5.3,2021-01-01T19:00:00
5.2,2021-01-01T20:00:00
5.0,2021-01-01T21:00:00
4.9,2021-01-01T22:00:00
4.9,2021-01-01T23:00:00
4.9,2021-01-02T00:00:00
