Relative_humidity,Date (GMT+1)
92.0,2021-01-01T01:00:00
92.0,2021-01-01T02:00:00
93.0,2021-01-01T03:00:00
93.0,2021-01-01T04:00:00
93.0,2021-01-01T05:00:00
93.0,2021-01-01T06:00:00
94.0,2021-01-01T07:00:00
94.0,2021-01-01T08:00:00
94.0,2021-01-01T09:00:00
93.0,2021-01-01T10:00:00
90.0,2021-01-01T11:00:00
88.0,2021-01-01T12:00:00
87.0,2021-01-01T13:00:00
85.0,2021-01-01T14:00:00
86.0,2021-01-01T15:00:00
88.0,2021-01-01T16:00:00
90.0,2021-01-01T17:00:00
91.0,2021-01-01T18:00:00
92.0,2021-01-01T19:00:00
92.0,2021-01-01T20:00:00
92.0,2021-01-01T21:00:00
93.0,2021-01-01T22:00:00
93.0,2021-01-01T23:00:00
93.0,2021-01-02T00:00:00
93.0,2021-01-01T01:00:00
93.0,2021-01-01T02:00:00
93.0,2021-01-01T03:00:00
93.0,2021-01-01T04:00:00
93.0,2021-01-01T05:00:00
93.0,2021-01-01T06:00:00
93.0,2021-01-01T07:00:00
93.0,2021-01-01T08:00:00
93.0,2021-01-01T09:00:00
92.0,2021-01-01T10:00:00
89.0,2021-01-01T11:00:00
87.0,2021-01-01T12:00:00
85.0,2021-01-01T13:00:00
84.0,2021-01-01T14:00:00
84.0,2021-01-01T15:00:00
85.0,2021-01-01T16:00:00
86.0,2021-01-01T17:00:00
87.0,2021-01-01T18:00:00
88.0,2021-01-01T19:00:00
88.0,2021-01-01T20:00:00
88.0,2021-01-01T21:00:00
88.0,2021-01-01T22:00:00
88.0,2021-01-01T23:00:00
89.0,2021-01-02T00:00:00
89.0,2021-01-01T01:00:00
89.0,2021-01-01T02:00:00
89.0,2021-01-01T03:00:00
89.0,2021-01-01T04:00:00
89.0,2021-01-01T05:00:00
90.0,2021-01-01T06:00:00
90.0,2021-01-01T07:00:00
90.0,2021-01-01T08:00:00
90.0,2021-01-01T09:00:00
90.0,2021-01-01T10:00:00
89.0,2021-01-01T11:00:00
88.0,2021-01-01T12:00:00
88.0,2021-01-01T13:00:00
88.0,2021-01-01T14:00:00
88.0,2021-01-01T15:00:00
89.0,2021-01-01T16:00:00
90.0,2021-01-01T17:00:00
91.0,2021-01-01T18:00:00
91.0,2021-01-01T19:00:00
92.0,2021-01-01T20:00:00
92.0,2021-01-01T21:00:00
92.0,2021-01-01T22:00:00
92.0,2021-01-01T23:00:00
92.0,2021-01-02T00:00:00
92.0,2021-01-01T01:00:00
92.0,2021-01-01T02:00:00
92.0,2021-01-01T03:00:00
92.0,2021-01-01T04:00:00
92.0,2021-01-01T05:00:00
92.0,2021-01-01T06:00:00
92.0,2021-01-01T07:00:00
92.0,2021-01-01T08:00:00
92.0,2021-01-01T09:00:00
91.0,2021-01-01T10:00:00
90.0,2021-01-01T11:00:00
89.0,2021-01-01T12:00:00
89.0,2021-01-01T13:00:00
89.0,2021-01-01T14:00:00
89.0,2021-01-01T15:00:00
89.0,2021-01-01T16:00:00
90.0,2021-01-01T17:00:00
90.0,2021-01-01T18:00:00
90.0,2021-01-01T19:00:00
91.0,2021-01-01T20:00:00
91.0,2021-01-01T21:00:00
91.0,2021-01-01T22:00:00
91.0,2021-01-01T23:00:00
91.0,2021-01-02T00:00:00
92.0,2021-01-01T01:00:00
92.0,2021-01-01T02:00:00
92.0,2021-01-01T03:00:00
92.0,2021-01-01T04:00:00
92.0,2021-01-01T05:00:00
92.0,2021-01-01T06:00:00
92.0,2021-01-01T07:00:00
92.0,2021-01-01T08:00:00
92.0,2021-01-01T09:00:00
92.0,2021-01-01T10:00:00
91.0,2021-01-01T11:00:00
