Diffuse_solar_radiation,Date (GMT+1)
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
19.0,2015-01-01T09:00:00
66.0,2015-01-01T10:00:00
114.0,2015-01-01T11:00:00
156.0,2015-01-01T12:00:00
160.0,2015-01-01T13:00:00
131.0,2015-01-01T14:00:00
80.0,2015-01-01T15:00:00
22.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
16.0,2015-01-01T09:00:00
47.0,2015-01-01T10:00:00
76.0,2015-01-01T11:00:00
92.0,2015-01-01T12:00:00
83.0,2015-01-01T13:00:00
71.0,2015-01-01T14:00:00
41.0,2015-01-01T15:00:00
10.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
15.0,2015-01-01T09:00:00
46.0,2015-01-01T10:00:00
71.0,2015-01-01T11:00:00
82.0,2015-01-01T12:00:00
74.0,2015-01-01T13:00:00
48.0,2015-01-01T14:00:00
23.0,2015-01-01T15:00:00
7.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
21.0,2015-01-01T09:00:00
76.0,2015-01-01T10:00:00
139.0,2015-01-01T11:00:00
159.0,2015-01-01T12:00:00
145.0,2015-01-01T13:00:00
127.0,2015-01-01T14:00:00
71.0,2015-01-01T15:00:00
21.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
17.0,2015-01-01T09:00:00
54.0,2015-01-01T10:00:00
98.0,2015-01-01T11:00:00
122.0,2015-01-01T12:00:00
131.0,2015-01-01T13:00:00
105.0,2015-01-01T14:00:00
61.0,2015-01-01T15:00:00
22.0,2015-01-01T16:00:00
1.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
1.0,2015-01-01T08:00:00
30.0,2015-01-01T09:00:00
89.0,2015-01-01T10:00:00
143.0,2015-01-01T11:00:00
173.0,2015-01-01T12:00:00
170.0,2015-01-01T13:00:00
142.0,2015-01-01T14:00:00
86.0,2015-01-01T15:00:00
26.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
17.0,2015-01-01T09:00:00
57.0,2015-01-01T10:00:00
97.0,2015-01-01T11:00:00
127.0,2015-01-01T12:00:00
119.0,2015-01-01T13:00:00
109.0,2015-01-01T14:00:00
66.0,2015-01-01T15:00:00
17.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
11.0,2015-01-01T09:00:00
33.0,2015-01-01T10:00:00
59.0,2015-01-01T11:00:00
78.0,2015-01-01T12:00:00
73.0,2015-01-01T13:00:00
56.0,2015-01-01T14:00:00
34.0,2015-01-01T15:00:00
11.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
8.0,2015-01-01T09:00:00
27.0,2015-01-01T10:00:00
47.0,2015-01-01T11:00:00
58.0,2015-01-01T12:00:00
53.0,2015-01-01T13:00:00
45.0,2015-01-01T14:00:00
26.0,2015-01-01T15:00:00
8.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
11.0,2015-01-01T09:00:00
47.0,2015-01-01T10:00:00
90.0,2015-01-01T11:00:00
118.0,2015-01-01T12:00:00
128.0,2015-01-01T13:00:00
106.0,2015-01-01T14:00:00
55.0,2015-01-01T15:00:00
14.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
15.0,2015-01-01T09:00:00
50.0,2015-01-01T10:00:00
93.0,2015-01-01T11:00:00
109.0,2015-01-01T12:00:00
105.0,2015-01-01T13:00:00
102.0,2015-01-01T14:00:00
74.0,2015-01-01T15:00:00
25.0,2015-01-01T16:00:00
1.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
0.0,2015-01-01T08:00:00
12.0,2015-01-01T09:00:00
38.0,2015-01-01T10:00:00
64.0,2015-01-01T11:00:00
73.0,2015-01-01T12:00:00
79.0,2015-01-01T13:00:00
65.0,2015-01-01T14:00:00
40.0,2015-01-01T15:00:00
15.0,2015-01-01T16:00:00
0.0,2015-01-01T17:00:00
0.0,2015-01-01T18:00:00
0.0,2015-01-01T19:00:00
0.0,2015-01-01T20:00:00
0.0,2015-01-01T21:00:00
0.0,2015-01-01T22:00:00
0.0,2015-01-01T23:00:00
0.0,2015-01-02T00:00:00
0.0,2015-01-01T01:00:00
0.0,2015-01-01T02:00:00
0.0,2015-01-01T03:00:00
0.0,2015-01-01T04:00:00
0.0,2015-01-01T05:00:00
0.0,2015-01-01T06:00:00
0.0,2015-01-01T07:00:00
1.0,2015-01-01T08:00:00
42.0,2015-01-01T09:00:00
116.0,2015-01-01T10:00:00
172.0,2015-01-01T11:00:00
212.0,2015-01-01T12:00:00
