Date (GMT+1),Average_Solar_Power(MW)
2020-12-31T23:00:00,0.0
2021-01-01T00:00:00,0.0
2021-01-01T01:00:00,0.0
2021-01-01T02:00:00,0.0
2021-01-01T03:00:00,0.0
2021-01-01T04:00:00,0.0
2021-01-01T05:00:00,0.0
2021-01-01T06:00:00,0.025
2021-01-01T07:00:00,201.375
2021-01-01T08:00:00,1415.425
2021-01-01T09:00:00,3099.625
2021-01-01T10:00:00,4397.875
2021-01-01T11:00:00,5009.475
2021-01-01T12:00:00,4394.8
2021-01-01T13:00:00,2828.525
2021-01-01T14:00:00,980.6
2021-01-01T15:00:00,45.550000000000004
2021-01-01T16:00:00,0.0
2021-01-01T17:00:00,0.0
2021-01-01T18:00:00,0.0
2021-01-01T19:00:00,0.0
2021-01-01T20:00:00,0.0
2021-01-01T21:00:00,0.0
2021-01-01T22:00:00,0.0
2021-01-01T23:00:00,0.0
2021-01-02T00:00:00,0.0
2021-01-02T01:00:00,0.0
2021-01-02T02:00:00,0.0
2021-01-02T03:00:00,0.0
2021-01-02T04:00:00,0.0
2021-01-02T05:00:00,0.0
2021-01-02T06:00:00,0.025
2021-01-02T07:00:00,160.625
2021-01-02T08:00:00,1019.25
2021-01-02T09:00:00,2284.95
2021-01-02T10:00:00,3435.5
2021-01-02T11:00:00,3867.5
2021-01-02T12:00:00,3187.8999999999996
2021-01-02T13:00:00,1853.95
2021-01-02T14:00:00,612.5
2021-01-02T15:00:00,24.224999999999998
2021-01-02T16:00:00,0.0
2021-01-02T17:00:00,0.0
2021-01-02T18:00:00,0.0
2021-01-02T19:00:00,0.0
2021-01-02T20:00:00,0.0
2021-01-02T21:00:00,0.0
2021-01-02T22:00:00,0.0
2021-01-02T23:00:00,0.0
2021-01-03T00:00:00,0.0
2021-01-03T01:00:00,0.0
2021-01-03T02:00:00,0.0
2021-01-03T03:00:00,0.0
2021-01-03T04:00:00,0.0
2021-01-03T05:00:00,0.0
2021-01-03T06:00:00,0.275
2021-01-03T07:00:00,87.65
2021-01-03T08:00:00,317.6
2021-01-03T09:00:00,918.575
2021-01-03T10:00:00,1446.65
2021-01-03T11:00:00,1589.925
2021-01-03T12:00:00,1360.15
2021-01-03T13:00:00,852.15
2021-01-03T14:00:00,327.7
2021-01-03T15:00:00,18.6
2021-01-03T16:00:00,0.0
2021-01-03T17:00:00,0.0
2021-01-03T18:00:00,0.0
2021-01-03T19:00:00,0.0
2021-01-03T20:00:00,0.0
2021-01-03T21:00:00,0.0
2021-01-03T22:00:00,0.0
2021-01-03T23:00:00,0.0
2021-01-04T00:00:00,0.0
2021-01-04T01:00:00,0.0
2021-01-04T02:00:00,0.0
2021-01-04T03:00:00,0.0
2021-01-04T04:00:00,0.0
2021-01-04T05:00:00,0.0
2021-01-04T06:00:00,0.275
2021-01-04T07:00:00,103.275
2021-01-04T08:00:00,299.32500000000005
2021-01-04T09:00:00,770.75
2021-01-04T10:00:00,1125.4
2021-01-04T11:00:00,1242.5
2021-01-04T12:00:00,1081.825
2021-01-04T13:00:00,711.925
2021-01-04T14:00:00,230.675
2021-01-04T15:00:00,8.675
2021-01-04T16:00:00,0.025
2021-01-04T17:00:00,0.0
2021-01-04T18:00:00,0.0
2021-01-04T19:00:00,0.0
2021-01-04T20:00:00,0.0
2021-01-04T21:00:00,0.0
2021-01-04T22:00:00,0.0
2021-01-04T23:00:00,0.0
2021-01-05T00:00:00,0.0
2021-01-05T01:00:00,0.0
2021-01-05T02:00:00,0.0
2021-01-05T03:00:00,0.0
2021-01-05T04:00:00,0.0
2021-01-05T05:00:00,0.0
2021-01-05T06:00:00,0.325
2021-01-05T07:00:00,101.425
2021-01-05T08:00:00,364.7
2021-01-05T09:00:00,846.25
2021-01-05T10:00:00,1254.8
2021-01-05T11:00:00,1384.95
2021-01-05T12:00:00,1207.6
2021-01-05T13:00:00,757.35
2021-01-05T14:00:00,266.9
2021-01-05T15:00:00,12.225
2021-01-05T16:00:00,0.025
2021-01-05T17:00:00,0.0
2021-01-05T18:00:00,0.0
2021-01-05T19:00:00,0.0
2021-01-05T20:00:00,0.0
2021-01-05T21:00:00,0.0
2021-01-05T22:00:00,0.0
2021-01-05T23:00:00,0.0
2021-01-06T00:00:00,0.0
2021-01-06T01:00:00,0.0
2021-01-06T02:00:00,0.0
2021-01-06T03:00:00,0.0
2021-01-06T04:00:00,0.0
2021-01-06T05:00:00,0.0
2021-01-06T06:00:00,0.375
2021-01-06T07:00:00,102.075
2021-01-06T08:00:00,390.975
2021-01-06T09:00:00,973.875
2021-01-06T10:00:00,1447.125
2021-01-06T11:00:00,1626.525
2021-01-06T12:00:00,1455.3
2021-01-06T13:00:00,991.05
2021-01-06T14:00:00,385.125
2021-01-06T15:00:00,25.549999999999997
2021-01-06T16:00:00,0.025
2021-01-06T17:00:00,0.0
2021-01-06T18:00:00,0.0
2021-01-06T19:00:00,0.0
2021-01-06T20:00:00,0.0
2021-01-06T21:00:00,0.0
2021-01-06T22:00:00,0.0
2021-01-06T23:00:00,0.0
2021-01-07T00:00:00,0.0
2021-01-07T01:00:00,0.0
2021-01-07T02:00:00,0.0
2021-01-07T03:00:00,0.0
2021-01-07T04:00:00,0.0
2021-01-07T05:00:00,0.0
2021-01-07T06:00:00,0.6
2021-01-07T07:00:00,115.325
2021-01-07T08:00:00,352.575
2021-01-07T09:00:00,958.4749999999999
2021-01-07T10:00:00,1605.6
2021-01-07T11:00:00,1888.675
2021-01-07T12:00:00,1699.325
2021-01-07T13:00:00,1174.925
2021-01-07T14:00:00,481.675
2021-01-07T15:00:00,36.324999999999996
2021-01-07T16:00:00,0.025
2021-01-07T17:00:00,0.0
2021-01-07T18:00:00,0.0
2021-01-07T19:00:00,0.0
2021-01-07T20:00:00,0.0
2021-01-07T21:00:00,0.0
2021-01-07T22:00:00,0.0
2021-01-07T23:00:00,0.0
2021-01-08T00:00:00,0.0
2021-01-08T01:00:00,0.0
2021-01-08T02:00:00,0.0
2021-01-08T03:00:00,0.0
2021-01-08T04:00:00,0.0
2021-01-08T05:00:00,0.0
2021-01-08T06:00:00,0.575
2021-01-08T07:00:00,97.14999999999999
2021-01-08T08:00:00,483.2
2021-01-08T09:00:00,1240.025
2021-01-08T10:00:00,1853.7
2021-01-08T11:00:00,2041.85
2021-01-08T12:00:00,1853.9750000000001
2021-01-08T13:00:00,1281.375
2021-01-08T14:00:00,547.95
2021-01-08T15:00:00,53.5
2021-01-08T16:00:00,0.025
2021-01-08T17:00:00,0.0
2021-01-08T18:00:00,0.0
2021-01-08T19:00:00,0.0
2021-01-08T20:00:00,0.0
2021-01-08T21:00:00,0.0
2021-01-08T22:00:00,0.0
2021-01-08T23:00:00,0.0
2021-01-09T00:00:00,0.0
2021-01-09T01:00:00,0.0
2021-01-09T02:00:00,0.0
2021-01-09T03:00:00,0.0
2021-01-09T04:00:00,0.0
2021-01-09T05:00:00,0.0
2021-01-09T06:00:00,0.575
2021-01-09T07:00:00,125.05
2021-01-09T08:00:00,729.0999999999999
2021-01-09T09:00:00,1961.95
2021-01-09T10:00:00,3101.1
2021-01-09T11:00:00,3542.625
2021-01-09T12:00:00,3164.45
2021-01-09T13:00:00,2231.125
2021-01-09T14:00:00,956.025
2021-01-09T15:00:00,93.175
2021-01-09T16:00:00,0.025
2021-01-09T17:00:00,0.0
2021-01-09T18:00:00,0.0
2021-01-09T19:00:00,0.0
2021-01-09T20:00:00,0.0
2021-01-09T21:00:00,0.0
2021-01-09T22:00:00,0.0
2021-01-09T23:00:00,0.0
2021-01-10T00:00:00,0.0
2021-01-10T01:00:00,0.0
2021-01-10T02:00:00,0.0
2021-01-10T03:00:00,0.0
2021-01-10T04:00:00,0.0
2021-01-10T05:00:00,0.0
2021-01-10T06:00:00,0.725
2021-01-10T07:00:00,159.3
2021-01-10T08:00:00,1284.675
2021-01-10T09:00:00,3152.625
2021-01-10T10:00:00,4974.675
2021-01-10T11:00:00,6277.675
2021-01-10T12:00:00,6447.2
2021-01-10T13:00:00,4844.75
2021-01-10T14:00:00,2205.975
2021-01-10T15:00:00,235.25
2021-01-10T16:00:00,0.1
2021-01-10T17:00:00,0.0
2021-01-10T18:00:00,0.0
2021-01-10T19:00:00,0.0
2021-01-10T20:00:00,0.0
2021-01-10T21:00:00,0.0
2021-01-10T22:00:00,0.0
2021-01-10T23:00:00,0.0
2021-01-11T00:00:00,0.0
2021-01-11T01:00:00,0.0
2021-01-11T02:00:00,0.0
2021-01-11T03:00:00,0.0
2021-01-11T04:00:00,0.0
2021-01-11T05:00:00,0.0
2021-01-11T06:00:00,0.875
2021-01-11T07:00:00,199.925
2021-01-11T08:00:00,1489.6750000000002
2021-01-11T09:00:00,3232.3
2021-01-11T10:00:00,4356.025
2021-01-11T11:00:00,4471.45
2021-01-11T12:00:00,4137.55
2021-01-11T13:00:00,3103.8
2021-01-11T14:00:00,1292.3
2021-01-11T15:00:00,166.625
2021-01-11T16:00:00,0.05
2021-01-11T17:00:00,0.0
2021-01-11T18:00:00,0.0
2021-01-11T19:00:00,0.0
2021-01-11T20:00:00,0.0
2021-01-11T21:00:00,0.0
2021-01-11T22:00:00,0.0
2021-01-11T23:00:00,0.0
2021-01-12T00:00:00,0.0
2021-01-12T01:00:00,0.0
2021-01-12T02:00:00,0.0
2021-01-12T03:00:00,0.0
2021-01-12T04:00:00,0.0
2021-01-12T05:00:00,0.0
2021-01-12T06:00:00,0.875
2021-01-12T07:00:00,111.0
2021-01-12T08:00:00,470.79999999999995
2021-01-12T09:00:00,1240.9
2021-01-12T10:00:00,2067.8
2021-01-12T11:00:00,2615.675
2021-01-12T12:00:00,2644.425
2021-01-12T13:00:00,1989.425
2021-01-12T14:00:00,927.475
2021-01-12T15:00:00,89.175
2021-01-12T16:00:00,0.05
2021-01-12T17:00:00,0.0
2021-01-12T18:00:00,0.0
2021-01-12T19:00:00,0.0
2021-01-12T20:00:00,0.0
2021-01-12T21:00:00,0.0
2021-01-12T22:00:00,0.0
2021-01-12T23:00:00,0.0
2021-01-13T00:00:00,0.0
2021-01-13T01:00:00,0.0
2021-01-13T02:00:00,0.0
2021-01-13T03:00:00,0.0
2021-01-13T04:00:00,0.0
2021-01-13T05:00:00,0.0
2021-01-13T06:00:00,1.1
2021-01-13T07:00:00,190.55
2021-01-13T08:00:00,1494.075
2021-01-13T09:00:00,3251.35
2021-01-13T10:00:00,4588.3
2021-01-13T11:00:00,5169.4
2021-01-13T12:00:00,4766.55
2021-01-13T13:00:00,3383.225
2021-01-13T14:00:00,1384.35
2021-01-13T15:00:00,129.15
2021-01-13T16:00:00,0.05
2021-01-13T17:00:00,0.0
2021-01-13T18:00:00,0.0
2021-01-13T19:00:00,0.0
2021-01-13T20:00:00,0.0
2021-01-13T21:00:00,0.0
2021-01-13T22:00:00,0.0
2021-01-13T23:00:00,0.0
2021-01-14T00:00:00,0.0
2021-01-14T01:00:00,0.0
2021-01-14T02:00:00,0.0
2021-01-14T03:00:00,0.0
2021-01-14T04:00:00,0.0
2021-01-14T05:00:00,0.0
2021-01-14T06:00:00,1.75
2021-01-14T07:00:00,111.875
2021-01-14T08:00:00,721.05
2021-01-14T09:00:00,1632.375
2021-01-14T10:00:00,2404.575
2021-01-14T11:00:00,2769.075
2021-01-14T12:00:00,2569.325
2021-01-14T13:00:00,1776.9
2021-01-14T14:00:00,758.9
2021-01-14T15:00:00,73.525
2021-01-14T16:00:00,0.05
2021-01-14T17:00:00,0.0
2021-01-14T18:00:00,0.0
2021-01-14T19:00:00,0.0
2021-01-14T20:00:00,0.0
2021-01-14T21:00:00,0.0
2021-01-14T22:00:00,0.0
2021-01-14T23:00:00,0.0
2021-01-15T00:00:00,0.0
2021-01-15T01:00:00,0.0
2021-01-15T02:00:00,0.0
2021-01-15T03:00:00,0.0
2021-01-15T04:00:00,0.0
2021-01-15T05:00:00,0.0
2021-01-15T06:00:00,1.925
2021-01-15T07:00:00,220.05
2021-01-15T08:00:00,1350.475
2021-01-15T09:00:00,2939.675
2021-01-15T10:00:00,4301.675
2021-01-15T11:00:00,4849.35
2021-01-15T12:00:00,4436.9
2021-01-15T13:00:00,3137.175
2021-01-15T14:00:00,1403.175
2021-01-15T15:00:00,197.54999999999998
2021-01-15T16:00:00,0.05
2021-01-15T17:00:00,0.0
2021-01-15T18:00:00,0.0
2021-01-15T19:00:00,0.0
2021-01-15T20:00:00,0.0
2021-01-15T21:00:00,0.0
2021-01-15T22:00:00,0.0
2021-01-15T23:00:00,0.0
2021-01-16T00:00:00,0.0
2021-01-16T01:00:00,0.0
2021-01-16T02:00:00,0.0
2021-01-16T03:00:00,0.0
2021-01-16T04:00:00,0.0
2021-01-16T05:00:00,0.0
2021-01-16T06:00:00,2.025
2021-01-16T07:00:00,105.70000000000002
2021-01-16T08:00:00,717.825
2021-01-16T09:00:00,1846.775
